id_appel,client_id,agent_id,date_appel,duree,motif,résolution,client_question,agent_response,client_responses
21935797,90494250.0,374176.0,2022-01-05 19:47:14,302.0,Consultation du solde,Non Résolu,bonjour j'aimerais connaitre le solde de mon compte de 536007,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","MCCARTHY, KIMBERLY, 26164582531"
4109086,23839870.0,301465.0,2021-02-14 14:00:07,226.0,Consultation du solde,Résolu,bonjour est ce que je peux avoir le solde de mon compte merci,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","MILLER, KIMBERLY, 14134182637"
94700441,10000976.0,700976.0,2022-05-25 15:31:53,207.0,Consultation du solde,Non Résolu,Bonjour lorsque je ouvre mon compte sur slib.fr je peux voir que ma carte est active mais que je n'ai aucun solde,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","MCCARTY, MARY, 22858401785"
10330353,10330353.0,125204.0,2022-06-29 19:23:58,162.0,Consultation du solde,Résolu,"Bonjour, je voudrais savoir le solde de mon compte","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","DAVIS, STEVEN, 74711092370"
3666072,1849700.0,499655.0,2018-11-16 11:35:16,739.0,Consultation du solde,Résolu,"Bonjour , je voudrais me faire une prise de solde","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","JACOBS, JOHN, 51578054196"
17884903,81102463.0,101296.0,2016-10-02 18:16:01,331.0,Consultation du solde,Résolu,bonjour c est nicolas\nje souhaite connaitre mon solde,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","TRUJILLO, SARA, 91577381171"
89007625,17442168.0,539982.0,2020-04-18 12:29:18,187.0,Consultation du solde,Non Résolu,"Bonjour, je voudrais savoir mon solde","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","BEN ABDALLAH ALI, MOHAMED, 03457601713"
76158779,93346906.0,139219.0,2019-11-10 11:21:10,290.0,Consultation du solde,Non Résolu,bonsoir c est monsieur diop je veux savoir mon solde merci,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","Nadine, Mohamed, 17910763785"
50137600,30924615.0,450416.0,2022-07-29 13:25:59,503.0,Consultation du solde,Résolu,"Bonjour, je souhaite récupérer mon solde actuel","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","SCHMITT, CYNTHIA, 65871995230"
16601001,54404239.0,390110.0,2018-04-25 11:11:09,149.0,Consultation du solde,Résolu,"bonjour, je voudrais savoir le solde de mon compte, merci","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","MORENO, MICHAEL, 18928784253"
5544170,58702315.0,577365.0,2022-05-26 09:41:05,145.0,Consultation du solde,Résolu,"Bonjour, cher agent. Je souhaite consulter mon solde. Merci d'avance.","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","JENKINS, SABRINA, 89172343716"
99874635,11700202.0,301124.0,2020-10-18 10:10:23,120.0,Consultation du solde,Résolu,bonjour je veux savoir mon solde,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","Mahmoud, Othmane, 14192008851"
2478591,13082722.0,311107.0,2021-08-12 13:44:31,136.0,Consultation du solde,Non Résolu,"bonjour, je voudrais savoir quel est mon solde actuel","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","CUNNINGHAM, JAMES, 42951839405"
2206275,12161719.0,244119.0,2022-04-25 21:16:23,232.0,Consultation du solde,Résolu,"Bonjour, je voudrais savoir mon solde","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","MILLER, JENNIFER, 07592196085"
11255923,64312968.0,133753.0,2021-02-08 13:16:01,445.0,Consultation du solde,Non Résolu,Je voulais savoir mon solde,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","HILL, LORI, 83490554974"
4608471,74315352.0,631941.0,2015-06-17 19:54:23,111.0,Consultation du solde,Résolu,"Bonjour, je souhaite consulter le solde de mon compte","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","MARTIN, MEGAN, 04914652802"
84016789,12758881.0,180867.0,2022-03-30 14:25:37,298.0,Consultation du solde,Résolu,"Bonjour, je voudrais savoir mon solde","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","DAVIS, PAUL, 94372542414"
10238844,74452760.0,122250.0,2023-04-27 10:11:45,197.0,Consultation du solde,Non Résolu,bonjour je veux savoir le solde de mon compte,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","GRAHAM, ELIZABETH, 84150984040"
90307523,18354201.0,455324.0,2020-05-17 11:46:10,109.0,Consultation du solde,Non Résolu,bonjour je voudrais connaitre mon solde,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","FIELDS, BRIANA, 99966790649"
15105155,54470050.0,100899.0,2017-02-06 21:07:25,249.0,Consultation du solde,Résolu,"bonjour, pouvez vous m'indiquer le solde de mon compte ?","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","ROBINSON, FRANK, 36198350895"
11700105,66504526.0,604596.0,2021-01-01 09:45:17,379.0,Consultation du solde,Non Résolu,Le motif de ma demande est la consultation du solde de mon compte,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","GIBSON, MICHAEL, 80477025130"
2257514,41115212.0,640013.0,2017-08-28 08:41:44,107.0,Consultation du solde,Non Résolu,"Bonjour, je voudrais savoir le solde de mon compte","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","FUENTES, JEREMY, 12823517726"
88078317,34443792.0,502622.0,2021-04-29 08:31:58,202.0,Consultation du solde,Résolu,"Monsieur, je suis client de la banque, je veux savoir mon solde","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","MARTINEZ, ERIK, 70143068010"
22091,11702055.0,357605.0,2015-04-05 15:08:54,30.0,Consultation du solde,Résolu,"Bonjour, je veux savoir si vous pouvez me communiquer mon solde actuel","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","ORTEGA, KRISTIN, 80765179182"
37831661,75485256.0,248184.0,2018-10-07 13:47:24,167.0,Consultation du solde,Non Résolu,"Bonjour, j'aimerais aujourd'hui connaître mon solde. Merci d'avance.","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","BROWN, SARAH, 67063946138"
33256798,36721416.0,101149.0,2018-04-25 19:54:45,648.0,Consultation du solde,Résolu,"Bonjour, je voudrais savoir mon solde commercial et mon solde personal","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","FROST, VINCENT, 30460207696"
8097967,11662246.0,407832.0,2022-01-25 09:11:46,255.0,Consultation du solde,Résolu,bonjour je voudrais savoir le solde de mon compte merci,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","PERRY, STEVEN, 38160268382"
90569615,64507687.0,225455.0,2021-03-30 11:42:58,215.0,Consultation du solde,Non Résolu,"Bonjour, je voudrais savoir le solde de mon compte, merci","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","KOCH, STACY, 48120059345"
117074,41555661.0,433300.0,2021-08-26 20:09:08,276.0,Consultation du solde,Résolu,1-J'ai besoin de consulter mon solde,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","BUTLER, SARA, 60763039595"
1476200,21884829.0,262350.0,2021-02-18 21:04:19,200.0,Consultation du solde,Non Résolu,"Bonjour, je voudrais connaitre mon solde.","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","CARTER, ERIC, 72864350423"
42104021,85941641.0,203655.0,2021-07-12 15:55:26,261.0,Consultation du solde,Non Résolu,bonsoir je voudrais savoir mon solde,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","Mohammed, Zakaria, 20021582402"
5023896,16395776.0,271989.0,2023-06-17 10:03:34,119.0,Consultation du solde,Non Résolu,je veux savoir mon solde,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","COOPER, KRISTIN, 68301390203"
2805952,3500075.0,105963.0,2023-07-31 14:25:20,65.0,Consultation du solde,Résolu,"Bonsoir, je voudrais savoir mon solde actuel","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","SWEENEY, MEGHAN, 49188208411"
10000004,6157779.0,522241.0,2017-12-19 13:13:12,507.0,Consultation du solde,Non Résolu,est-ce que le compte bancaire peut être ouvert pour ne m'en mettre pas un solde négatif,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","WALKER, ASHLEY, 12941370944"
2405688,10640725.0,387881.0,2022-11-01 16:06:14,183.0,Consultation du solde,Résolu,"bonjour, je voudrais savoir mon solde de compte car j'ai besoin de payer un ticket d'autobus","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","RAMSEY, CARLOS, 19301279839"
1854918,32377489.0,306157.0,2020-06-02 14:34:43,228.0,Consultation du solde,Résolu,"Bonjour, comment je peux savoir le montant de mon solde","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","RICHARDS, JEREMIAH, 22201346384"
87381290,59349649.0,239371.0,2020-01-01 10:59:48,276.0,Consultation du solde,Non Résolu,Bonne soirée. Je voudrais connaitre le solde de mon compte. Merci,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","ALLEN, ASHLEY, 01945502616"
88235024,13675608.0,715418.0,2020-05-15 16:42:22,261.0,Consultation du solde,Résolu,"bonjour, est ce que vous pouvez me donner le solde de mon compte ?","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","DIAZ, KRISTEN, 53246576996"
197052,1011142.0,562379.0,2021-08-17 11:55:09,301.0,Consultation du solde,Résolu,"bonjour , je voudrais savoir le solde de mon compte","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","FOSTER, DONALD, 20371533790"
3928882,45109693.0,130199.0,2020-04-10 15:36:10,291.0,Consultation du solde,Résolu,"Bonjour, je veux savoir mon solde","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","LITTLE, BRANDY, 15645216375"
10344652,19104003.0,125109.0,2019-08-05 11:21:14,430.0,Consultation du solde,Non Résolu,Ah bon est ce que je peux avoir le solde de mon compte ?,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","Abdellah, Abdelmaled, 36830703089"
2304731,6927877.0,230142.0,2016-10-04 20:23:41,325.0,Consultation du solde,Résolu,"Bonjour, je voudrais savoir mon solde","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","Lahouel, Kawtar, 18100063108"
1008138,99352474.0,99853.0,2021-12-29 16:04:11,43.0,Consultation du solde,Résolu,"bonjour, je me demande si je peux avoir mon solde et si je peux faire une prise en charge","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","JENNINGS, ROBERT, 40401908465"
1912987,27239891.0,234415.0,2020-07-26 14:44:36,125.0,Consultation du solde,Résolu,"Salut, je souhaiterai savoir mon solde","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","HERNANDEZ, NICOLE, 53589506500"
220714,30158911.0,500168.0,2022-06-27 15:12:08,148.0,Consultation du solde,Non Résolu,"Bonjour, je voudrais savoir mon solde compte","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","GRIFFIN, DOUGLAS, 65190280638"
5558760,23963822.0,394902.0,2023-04-11 08:10:38,128.0,Consultation du solde,Résolu,"Salut, je voudrais savoir mon solde ?","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","SMITH, MITCHELL, 95960050947"
6037655,14703102.0,610893.0,2021-10-03 14:23:42,82.0,Consultation du solde,Résolu,"Bonsoir, je voudrais savoir mon niveau de solde, merci","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","CHRISTENSEN, MATTHEW, 86337615084"
12405096,84349138.0,237806.0,2021-09-16 19:56:08,241.0,Consultation du solde,Non Résolu,"Bonjour, je voudrais savoir mon solde actuel","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","BONILLA, TINA, 18353372860"
20450002,21400128.0,187202.0,2020-02-28 15:28:02,221.0,Consultation du solde,Non Résolu,"Bonjour, je voudrais connaître le solde de mon compte, s'il vous plaît.","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","SMITH, HEATHER, 81642286721"
85115058,88149139.0,173913.0,2016-12-21 17:36:00,120.0,Consultation du solde,Non Résolu,bonjour je voudrais savoir mon solde de mon compte,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","MANNING, MICHAEL, 78446031658"
12019480,31602025.0,113506.0,2019-02-04 19:27:08,175.0,Consultation du solde,Résolu,"Bonjour, je suis à la recherche de mon solde. Merci!","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","Roumie, Salem, 19818059421"
82773816,64286259.0,251009.0,2022-08-30 16:15:50,264.0,Consultation du solde,Résolu,"Bonjour, je voudrais s'il vous plait avoir mon solde","Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","AVERY, JULIA, 66101843406"
1058888,1058888.0,352935.0,2014-04-25 11:32:30,296.0,Consultation du solde,Non Résolu,Je viens de recevoir l'extrait de compte et j'ai constaté une erreur sur mon solde : j'ai 800 euros alors que je n'ai pas payé mon facture de téléphone. Que pouvez-vous me dire sur ce sujet,"Bonjour, vous souhaitez consulter votre solde. Pour cela, nous avons besoin de votre numéro de compte.","Nom, Prenom, 28014865088"
