Nom_client,Prénom,RIB,Numéro de compte,CIN,Solde,Consultation opérations,Agence,Date,VL,Nombre dactions
ABIDA,HUSSEN,77767511705539220234,326209193,1065111,54105.088,souscription,JENDOUBA,2017-12-11,105.674,512
ABIDA,HUSSEN,77767511705539220234,326209193,1065111,52478.976,rachat,JENDOUBA,2014-03-19,102.498,512
ABIDA,HUSSEN,77767511705539220234,326209193,1065111,0.0,rachat,JENDOUBA,2017-09-18,104.63,0
ABIDA,HUSSEN,77767511705539220234,326209193,1065111,0.0,rachat,JENDOUBA,2016-09-17,107.721,0
ABIDA,HUSSEN,77767511705539220234,326209193,1065111,13296.107,souscription,JENDOUBA,2022-03-19,101.497,131
ABOUCHIKA,Mohamed,35191937687414798808,37435111892,69867380,41315.652,souscription,NABEUL,2020-03-21,103.548,399
ABOUCHIKA,Mohamed,35191937687414798808,37435111892,69867380,43938.678,rachat,NABEUL,2023-08-12,110.122,399
ABOUCHIKA,Mohamed,35191937687414798808,37435111892,69867380,95137.692,souscription,NABEUL,2023-10-14,106.418,894
ABOUCHIKA,Mohamed,35191937687414798808,37435111892,69867380,95086.734,rachat,NABEUL,2022-02-04,106.361,894
ABOUCHIKA,Mohamed,35191937687414798808,37435111892,69867380,0.0,rachat,NABEUL,2018-01-29,104.057,0
AGHAOU,Mohamed,79480896329502182131,69777980091,71304100,2834.624,souscription,MOKNINE,2014-01-30,109.024,26
AGHAOU,Mohamed,79480896329502182131,69777980091,71304100,50200.554,souscription,MOKNINE,2016-08-11,110.818,453
AGHAOU,Mohamed,79480896329502182131,69777980091,71304100,60618.855,souscription,MOKNINE,2014-08-31,108.055,561
AGHAOU,Mohamed,79480896329502182131,69777980091,71304100,86000.224,souscription,MOKNINE,2022-01-28,101.896,844
AIT OUARABE,Mohamed,08449314168850543555,63646963,15835315,0.0,rachat,CENTRALE CUN,2021-02-25,100.622,0
AIT OUARABE,Mohamed,08449314168850543555,63646963,15835315,78570.544,souscription,CENTRALE CUN,2020-02-28,103.792,757
AIT OUARABE,Mohamed,08449314168850543555,63646963,15835315,54964.319,rachat,CENTRALE CUN,2024-09-20,109.273,503
AIT OUARABE,Mohamed,08449314168850543555,63646963,15835315,27486.356,rachat,CENTRALE CUN,2014-06-14,108.214,254
AJAMI,Noor,23985428443306821205,84734242445,79223884,22800.202,souscription,MSAKEN,2015-05-08,106.543,214
AJAMI,Noor,23985428443306821205,84734242445,79223884,21730.63,rachat,MSAKEN,2020-01-17,101.545,214
AJAMI,Noor,23985428443306821205,84734242445,79223884,11873.904,souscription,MSAKEN,2024-09-15,106.017,112
